,event_date,year,month,day,country_code,latitude,longitude,witness,issue
17972,2020-10-18,2020,10,18,ES,41.53751,2.42894,Ignacio Ruiz-Arrondo;Laura Blanco-Sierra;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17975,2019-10-01,2019,10,1,ES,41.92436,3.17289,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17977,2020-07-06,2020,7,6,ES,37.63921,-1.3318,Simone Mariani;Ignacio Ruiz-Arrondo;Roger Eritja;Daniel Bravo-Barriga,CONTINENT_DERIVED_FROM_COORDINATES
17978,2020-10-22,2020,10,22,IT,44.72448,11.14859,Filiz Gunay;Elton Rogozi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17979,2021-06-01,2021,6,1,IT,43.39611,12.23523,Diego Parrondo Montón;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17981,2020-08-17,2020,8,17,IT,41.47582,12.60238,Diego Parrondo Montón;Elton Rogozi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17982,2018-09-22,2018,9,22,ES,36.7221,-4.47057,Rosario Melero-Alcíbar;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17983,2019-08-29,2019,8,29,ES,39.73172,3.23388,Santi Escartin Peña;Ignacio Ruiz-Arrondo;Roger Eritja;Maria Angeles Puig,CONTINENT_DERIVED_FROM_COORDINATES
17984,2020-08-24,2020,8,24,ES,36.76983,-4.04723,Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17985,2020-07-16,2020,7,16,ES,41.37193,2.12506,Isis Sanpera-Calbet;Maria Angeles Puig;Simone Mariani;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17988,2021-08-14,2021,8,14,SI,46.54064,15.68411,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17992,2021-05-29,2021,5,29,ES,41.93061,2.81091,Simone Mariani;Mikel Alexander González;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17993,2020-09-02,2020,9,2,ES,37.15688,-3.6076,Laura Blanco-Sierra;Maria Angeles Puig;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17995,2019-05-20,2019,5,20,ES,38.94159,1.41662,Mikel Bengoa Paulis;Daniel Bravo-Barriga;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17996,2020-08-21,2020,8,21,ES,40.928,0.84324,Carlos Barceló;Maria Angeles Puig;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17997,2021-08-02,2021,8,2,HU,47.49054,19.12989,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
17998,2021-08-15,2021,8,15,HU,47.40753,19.0765,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18000,2020-10-09,2020,10,9,TR,40.80855,29.44424,Elton Rogozi;Karin Bakran-Lebl;Filiz Gunay;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18004,2021-05-27,2021,5,27,ES,41.43205,2.14651,Sarah Delacour;Mikel Bengoa Paulis;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18005,2021-07-25,2021,7,25,ES,38.85911,-0.08899,Isis Sanpera-Calbet;Sergio Magallanes;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18006,2021-08-14,2021,8,14,HU,47.44029,19.12876,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
